,lat,lon,kelp_biomass_kg,kelp_biomass_kg_past
106,37.1099899781974,-122.304995458789,0.0,195.0
107,37.1116124254758,-122.304980631384,0.0,303.0
108,37.1118828333117,-122.304978160035,0.0,391.0
109,37.1121532411352,-122.304975688652,0.0,420.0
110,37.1124236489462,-122.304973217237,0.0,347.0
111,37.1102584064841,-122.30465535506,0.0,254.0
112,37.1105288143633,-122.304652882675,0.0,324.0
113,37.11079922223,-122.304650410257,0.0,450.0
114,37.1110696300841,-122.304647937806,0.0,508.0
115,37.1113400379258,-122.304645465322,0.0,420.0
116,37.111610445755,-122.304642992806,0.0,450.0
117,37.1118808535717,-122.304640520256,0.0,435.0
118,37.1121512613759,-122.304638047673,0.0,361.0
119,37.1124216691675,-122.304635575057,0.0,303.0
120,37.1105268337583,-122.30431524893,0.0,273.0
121,37.1107972416057,-122.304312775312,0.0,464.0
